new,question,answer,answers
Lorsque j'avais six ans j'ai vu une fois une magnifique image dans un livre sur la Forét Vierge qui s'appelait "Histoires Vécues",Lorsque j'avais six ans j'ai vu une fois une magnifique image dans un livre sur <mask> Forét Vierge qui s'appelait "Histoires Vécues",la,"['le', 'lui', 'la', 'un', 'de la', 'du']"
Ca représentait un serpent boa qui avalait un fauve,Ca représentait un serpent boa qui avalait <mask> fauve,un,"['un', 'de', 'une', 'la', 'le']"
Voilà  la copie du dessin,Voilà la copie du <mask>,dessin,"['image', 'compte', 'dessin', 'arbre']"
On disait dans le livre: Les serpents boas avalent leur proie tout entière sans la mâcher,<mask> disait dans le livre: Les serpents boas avalent leur proie tout entière sans la mâcher,On,"['Comme', 'Il', 'Ce', 'Elle', 'On']"
Ensuite ils ne peuvent plus bouger et ils dorment pendant les six mois de leur digestion,Ensuite ils ne peuvent plus bouger et <mask> dorment pendant les six mois de leur digestion,ils,"['elles', 'ils', 'il', 'nous', 'vous']"
J'ai alors beaucoup réfléchi sur les aventures de la jungle et à mon tour j'ai réussi avec un crayon de couleur à  tracer mon premier dessin,J'ai alors beaucoup réfléchi sur les aventures de la jungle et à mon tour j'ai réussi <mask> un crayon de couleur à tracer mon premier dessin,avec,"['avec', 'sous', 'sur', 'par', 'en']"
J'ai montré mon chef d'oeuvre aux grandes personnes et je leur ai demandé si mon dessin leur faisait peur,J'ai montré mon chef d'oeuvre aux grandes personnes et je leur ai demandé <mask> mon dessin leur faisait peur,si,"['si', 'pourquoi', 'de', 'que', 'un', 'une']"
Elles m'ont répondu "Pourquoi un chapeau ferait il peur?",Elles m'ont répondu "<mask> un chapeau ferait il peur?",Pourquoi,"['Parce', 'Pourquoi', 'Comment', 'Quand']"
Mon dessin ne représentait pas un chapeau, Mon <mask> ne représentait pas un chapeau,dessin,"['crayon', 'mari', 'fils', 'chef-d'oeuvre', 'dessin']"
Il reprsentait un serpent boa qui digérait un éléphant,Il représentait un serpent boa qui <mask> un éléphant,digérait,"['mangé', 'regardé', 'digérait', 'sauvé]"
J'ai alors dessiné l'intérieur du serpent boa afin que les grandes personnes puissent comprendre,J'ai alors <mask> l'intérieur du serpent boa afin que les grandes personnes puissent comprendre,dessiné,"['fait', 'demandé', 'regardé', 'dessiné','montré]"
Elles ont toujours besoin d'explications,Elles <mask> toujours besoin d'explications,ont,"['ont', 'auront', 'avaient', 'sont', 'aient']"
Mon dessin numéro 2 était comme ca,Mon dessin numéro 2 <mask> comme ca,était,"['est', 'était', 'serait', 'sera']"
Les grandes personnes m'ont conseillé de laisser de côté les dessins de serpents boas ouverts ou fermés et de m'intresser plutot  à la gographie à l'histoire au calcul et à la grammaire,Les grandes personnes m'ont conseillé de laisser de coté les dessins de serpents boas ouverts ou fermés et de m'intresser plutot à la gographie à l'histoire au <mask> et la grammaire,calcul,"['lecture', 'montagne', 'aussi', 'calcul']"
C'est ainsi que j'ai abandonnè à l'age de six ans une magnifique carrière de peintre,C'est ainsi <mask> j'ai abandonné l'age de six ans une magnifique carrière de peintre,que,"['que', 'qu', 'qui', 'dés', 'dont']"
J'avais été découragé par l'insuccés de mon dessin numéro 1 et de mon dessin numéro 2,<mask> été découragé par l'insuccés de mon dessin numéro 1 et de mon dessin numéro 2,J'avais,"[""J'avais"", ""Je suis"", ""J'ai"", ""J'étais""]"
Les grandes personnes ne comprennent jamais rien toutes seules et c'est fatigant pour les enfants de toujours et toujours leur donner des explications,Les grandes personnes ne comprennent jamais rien toutes seules et c'est fatigant pour les enfants de <mask> et toujours leur donner des explications,toujours,"['toujours', 'jamais', 'pas mal', 'très', 'au fur et à mésure']"
J'ai donc du choisir un autre métier et j'ai appris à piloter des avions,J'ai donc du choisir un autre <mask> et j'ai appris à piloter des avions,métier,"['copain', 'métier', 'pays', 'chemin']"
J'ai volé un peu partout dans le monde,J'ai <mask> un peu partout dans le monde,volé,"['marché', 'fait', 'vu', 'eu', 'volé']"
Et la géographie -c'est exact- m'a beaucoup servi,Et la <mask> -c'est exact- m'a beaucoup servi,géographie,"['rose', 'terre', 'géographie', 'vie']"
Je savais reconnaitre du premier coup d'oeil la Chine de l'Arizona,Je savais reconnaitre du premier <mask> d'oeil la Chine de l'Arizona,coup,"['coup', 'vu', 'tour', 'souffle', 'coeur']"
C'est très utile si l'on est égaré pendant la nuit,C'est très utile <mask> l'on est égaré pendant la nuit,si,"['si', 'lorsque', 'de', 'quand', 'pour', 'dés']"
J'ai ainsi eu au cours de ma vie des tas de contacts avec des tas de gens sérieux,J'ai ainsi eu au cours de ma vie des tas de contacts avec des tas <mask> gens sérieux,de,"['de', 'des', 'les', 'pour', 'par'']"
J'ai beaucoup vécu chez les grandes personnes,J'ai beaucoup vécu chez les grandes <mask>,personnes,"['marques', 'entreprises', 'maisons', 'personnes']"
Je les ai vues de très près,Je les ai vues de <mask> près,très,"['trop', 'loin', 'plus', 'peu', 'très']"
Cela n'a pas trop amélioré mon opinion,<mask> n'a pas trop amlior mon opinion,Cela,"['Il', 'Cela', 'On', 'Elle']"
Quand j'en rencontrais une qui me paraissait un peu lucide je faisais l'expérience sur elle de mon dessin numéro 1 que j'ai toujours conservé,Quand j'en <mask> une qui me paraissait un peu lucide je faisais l'expérience sur elle de mon dessin numéro 1 que j'ai toujours conservé,"['connais', 'recevais', 'retrouvais', 'rencontrais']"
Je voulais savoir si elle était vraiment comprhensive,Je voulais savoir si elle était vraiment <mask>,compréhensive,"['trop', 'gentil', 'compréhensive', 'taille']"
Mais toujours elle me répondait C'est un chapeau,Mais toujours elle me répondait C'est un <mask>,chapeau,"['chapeau', 'manteau', 'basket', 'rose']"
Alors je ne lui parlais ni de serpents boas ni de forts vierges ni d'toiles,Alors je ne lui parlais ni de serpents boas <mask> de forts vierges ni d'toiles,ni,"['ni', 'de', 'en', 'ou', 'si']"
Je me mettais à sa porte,Je <mask> mettais à sa porte,me,"['lui', 'se', 'le', 'me', 'un']"
Je lui parlais de bridge de golf de politique et de cravates,Je lui parlais de bridge de golf <mask> politique et de cravates,de,"['de', 'un', 'une', 'la', 'aussi']"
J'ai montré mon chef d'oeuvre aux grandes personnes et je leur ai demandé si mon dessin leur faisait peur,J'ai montré mon chef d'oeuvre aux grandes personnes et je <mask> ai demandé si mon dessin leur faisait peur,leur,"['lui', 'elles', 'ils', 'leur', 'vous']"